132;3HGRM4850CG600659;135165;K228
133;3HGRM4850CG600661;135166;K556
134;3HGRM4850CG600670;135170;K214
135;3HGRM4850CG600687;135181;K561
136;3HGRM4850CG600712;135193;K553
137;3HGRM4850CG600716;135194;K369
138;3HGRM4850CG600730;135200;K440
139;3HGRM4850CG600735;135203;K565
140;3HGRM4850CG600737;135204;K433
141;3HGRM4850CG600747;135209;K212
142;3HGRM4850CG600748;135210;K555
143;3HGRM4850CG600750;135211;K265
144;3HGRM4850CG600753;135213;K244
145;3HGRM4870CG601953;135216;K216
146;3HGRM4870CG601955;135217;K204
147;3HGRM4870CG601964;135219;K372
148;3HGRM4870CG601966;135220;K193
149;3HGRM4870CG602328;135234;K225
150;3HGRM4870CG602342;135236;K454
151;3HGRM4870CG602404;135240;K192
152;3HGRM4870CG602416;135246;K210
153;3HGRM4870CG602417;135247;K376
154;3HGRM4870CG602420;135248;K552
155;3HGRM4870CG602422;135249;K499
156;3HGRM4870CG602486;135261;K550
157;3HGRM4850CG600616;135144;K236
158;3HGRM4850CG600628;135150;K441
159;3HGRM4850CG600647;135160;K260
160;3HGRM4850CG600673;135173;K434
161;3HGRM4850CG600691;135182;K241
162;3HGRM4850CG600693;135183;K235
163;3HGRM4850CG600711;135192;K450
164;3HGRM4850CG600719;135195;K231
165;3HGRM4870CG601909;135215;K242
166;3HGRM4870CG601956;135218;K451
167;3HGRM4870CG602008;135223;K230
168;3HGRM4870CG602397;135239;K271
169;3HGRM4870CG602409;135241;K447
170;3HGRM4870CG602472;135258;K198
171;3HGRM4850CG600618;135145;K501
172;3HGRM4850CG600652;135162;K497
173;3HGRM4850CG600653;135163;K325
174;3HGRM4850CG600694;135184;K332
175;3HGRM4850CG600695;135185;K199
176;3HGRM4850CG600702;135187;K335
177;3HGRM4850CG600740;135205;K329
178;3HGRM4850CG600741;135206;K446
179;3HGRM4850CG600743;135207;K504
180;3HGRM4870CG601982;135222;K317
181;3HGRM4870CG602009;135224;K490
182;3HGRM4870CG602017;135225;K430
